Month,Incident Number,Date of Incident,Day of Week,Number of Victims under 18,Number of Victims over 18,Number of Offenders under 18,Number of Offenders over 18,Race/Ethnicity of Offenders,Offense(s),Offense Location,Bias,Zip Code,APD Sector,Council District
Jun,2017-178954,10/23/2017 12:00:00 AM,Sun,2,1,1,0,White/Not Hispanic,Theft,Highway/Road/Alley/Street/Sidewalk,Anti-White,78701,Ida,8
Feb,2017-346315,03-06-2017 00:00,Sun,0,3,0,3,Other,Burglary,Other,Anti-Jewish,78701,Charlie,6
Apr,2017-693732,12/14/2017 12:00:00 AM,Wed,2,0,1,1,White/Not Hispanic,Burglary,Other,Anti-Asian,78702,Edward,1
Mar,2017-879796,12/25/2017 12:00:00 AM,Sun,1,0,1,3,White/Not Hispanic,Burglary,Home/Residence,Anti-Asian,78704,Henry,8
Oct,2017-535619,09/23/2017 12:00:00 AM,Fri,0,2,0,1,Black or African American/Not Hispanic,Destruction,Other,Anti-Hispanic,78705,David,7
May,2017-421038,05-04-2017 00:00,Wed,0,1,0,0,Black or African American/Not Hispanic,Vandalism,Home/Residence,Anti-Other,78702,David,4
Jun,2017-141114,12/17/2017 12:00:00 AM,Sat,1,2,2,1,Black or African American/Not Hispanic,Aggravated Assault,Highway/Road/Alley/Street/Sidewalk,Anti-White,78704,Henry,1
Jul,2017-311672,02/18/2017 12:00:00 AM,Fri,1,1,2,0,Asian,Burglary,Other,Anti-Jewish,78701,Henry,6
May,2017-461016,02-11-2017 00:00,Fri,1,0,0,2,Other,Burglary,Home/Residence,Anti-Hispanic,78704,Ida,8
Feb,2017-346618,09/16/2017 12:00:00 AM,Fri,0,3,1,3,Asian,Theft,School/College,Anti-Other,78701,Edward,5
Sep,2017-240878,03-11-2017 00:00,Fri,2,0,1,1,Other,Robbery,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic,78704,David,6
Jun,2017-623389,03-06-2017 00:00,Sun,2,3,0,0,Hispanic,Vandalism,School/College,Anti-Hispanic,78757,Edward,3
Jul,2017-863844,03/18/2017 12:00:00 AM,Fri,2,0,2,3,White/Not Hispanic,Burglary,Park/Playground,Anti-Hispanic,78705,Edward,9
Jan,2017-424199,07-09-2017 00:00,Sat,0,1,1,3,Other,Robbery,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,78757,David,2
Aug,2017-363075,02/18/2017 12:00:00 AM,Fri,2,0,0,0,Other,Robbery,Other,Anti-Other,78702,Ida,6
May,2017-986241,07/18/2017 12:00:00 AM,Mon,2,0,2,3,Other,Aggravated Assault,Store/Shop,Anti-Other,78705,Edward,1
Oct,2017-134234,08/19/2017 12:00:00 AM,Fri,1,0,2,2,Unknown,Destruction,Other,Anti-White,78704,Henry,2
Nov,2017-563403,02-05-2017 00:00,Sat,1,1,1,2,Other,Burglary,Park/Playground,Anti-Hispanic,78701,Edward,3
Sep,2017-109851,02/28/2017 12:00:00 AM,Mon,0,3,2,1,Hispanic,Robbery,School/College,Anti-Black or African American,78702,Edward,10
Jan,2017-904813,01/15/2017 12:00:00 AM,Sat,0,3,1,2,Unknown,Theft,Park/Playground,Anti-White,78701,Edward,2
Jan,2017-831548,01/17/2017 12:00:00 AM,Mon,1,2,1,1,Other,Burglary,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic,78704,Henry,2
Sep,2017-923774,09-05-2017 00:00,Mon,2,2,0,3,Asian,Burglary,Store/Shop,Anti-White,78701,Henry,5
Jul,2017-357086,03-08-2017 00:00,Tue,1,0,1,0,Hispanic,Burglary,Home/Residence,Anti-Hispanic,78701,Ida,1
Mar,2017-420575,12/24/2017 12:00:00 AM,Sat,0,3,2,1,White/Not Hispanic,Destruction,Park/Playground,Anti-Other,78757,Edward,8
Jul,2017-329938,12/21/2017 12:00:00 AM,Wed,1,2,2,0,Unknown,Aggravated Assault,Store/Shop,Anti-Hispanic,78701,Edward,9
May,2017-920910,12/14/2017 12:00:00 AM,Wed,0,1,1,0,Asian,Robbery,School/College,Anti-Other,78702,Henry,1
Mar,2017-242467,06-07-2017 00:00,Tue,0,2,2,1,Hispanic,Burglary,Store/Shop,Anti-Other,78701,Henry,7
Feb,2017-495546,11-01-2017 00:00,Tue,2,0,1,2,Unknown,Destruction,Home/Residence,Anti-White,78701,David,3
Sep,2017-678984,03-10-2017 00:00,Thu,2,2,2,0,Hispanic,Destruction,Other,Anti-White,78701,Henry,2
Dec,2017-779560,02/26/2017 12:00:00 AM,Sat,0,0,2,1,Hispanic,Burglary,Park/Playground,Anti-White,78702,Henry,4
Aug,2017-588572,07-04-2017 00:00,Mon,1,1,2,2,Black or African American/Not Hispanic,Aggravated Assault,Other,Anti-Hispanic,78705,Ida,2
Jan,2017-310336,03-10-2017 00:00,Thu,2,3,2,0,Hispanic,Vandalism,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,78701,Charlie,10
Mar,2017-791601,12/19/2017 12:00:00 AM,Mon,1,3,1,3,White/Not Hispanic,Aggravated Assault,Home/Residence,Anti-White,78705,David,5
Aug,2017-879754,04/22/2017 12:00:00 AM,Fri,1,0,1,1,Other,Robbery,Store/Shop,Anti-Jewish,78704,Charlie,6
Jul,2017-566423,10/15/2017 12:00:00 AM,Sat,0,0,1,0,Asian,Destruction,Other,Anti-Jewish,78702,Edward,3
Sep,2017-248728,12-08-2017 00:00,Thu,2,1,2,1,Black or African American/Not Hispanic,Aggravated Assault,Home/Residence,Anti-Black or African American,78702,Charlie,8
May,2017-722076,08-03-2017 00:00,Wed,0,1,1,0,Black or African American/Not Hispanic,Aggravated Assault,Other,Anti-Jewish,78702,Henry,10
Mar,2017-817924,09/25/2017 12:00:00 AM,Sun,2,0,1,1,Other,Robbery,School/College,Anti-Other,78701,Ida,1
Jan,2017-764536,03/29/2017 12:00:00 AM,Tue,1,3,1,3,Asian,Destruction,Store/Shop,Anti-Asian,78705,Charlie,3
Jan,2017-139556,04-01-2017 00:00,Fri,0,3,0,3,Other,Theft,Other,Anti-White,78704,Henry,2
Oct,2017-146309,05-08-2017 00:00,Sun,0,2,2,3,Asian,Destruction,Home/Residence,Anti-Jewish,78705,Charlie,8
Nov,2017-899622,07/26/2017 12:00:00 AM,Tue,1,3,0,2,White/Not Hispanic,Vandalism,Store/Shop,Anti-Jewish,78701,Charlie,10
Apr,2017-670233,05-07-2017 00:00,Sat,0,3,0,0,Hispanic,Destruction,Home/Residence,Anti-Hispanic,78701,Henry,9
Mar,2017-573752,06-10-2017 00:00,Fri,0,3,1,3,Asian,Theft,Other,Anti-Other,78702,Edward,3
Apr,2017-277911,09/27/2017 12:00:00 AM,Tue,2,0,1,3,Black or African American/Not Hispanic,Robbery,Park/Playground,Anti-Black or African American,78757,Charlie,7
Nov,2017-429946,02/19/2017 12:00:00 AM,Sat,0,2,0,2,Hispanic,Destruction,Home/Residence,Anti-Jewish,78704,Charlie,8
Oct,2017-751217,05-12-2017 00:00,Thu,2,0,0,1,Unknown,Aggravated Assault,Home/Residence,Anti-Black or African American,78757,David,4
Dec,2017-584980,09-12-2017 00:00,Mon,1,2,2,3,Asian,Burglary,Store/Shop,Anti-Jewish,78704,David,4
Nov,2017-420072,08-08-2017 00:00,Mon,0,3,1,0,Asian,Destruction,Store/Shop,Anti-Asian,78701,Ida,6
Aug,2017-151986,02-08-2017 00:00,Tue,1,1,1,1,Unknown,Vandalism,Other,Anti-Asian,78757,Henry,5
Aug,2017-916447,08/26/2017 12:00:00 AM,Fri,2,2,0,3,Unknown,Theft,Home/Residence,Anti-Jewish,78757,Edward,4
Apr,2017-611218,05/20/2017 12:00:00 AM,Fri,0,0,2,0,Unknown,Burglary,Other,Anti-Other,78704,Edward,8
Jan,2017-670785,02/15/2017 12:00:00 AM,Tue,0,3,1,2,Black or African American/Not Hispanic,Burglary,Home/Residence,Anti-Asian,78757,David,8
Dec,2017-101101,05/28/2017 12:00:00 AM,Sat,2,2,1,1,Hispanic,Burglary,School/College,Anti-Jewish,78705,David,7
Mar,2017-835616,08/20/2017 12:00:00 AM,Sat,0,2,1,0,Asian,Theft,School/College,Anti-Asian,78705,Henry,8
Jan,2017-360091,06-04-2017 00:00,Sat,2,3,2,1,Other,Destruction,Home/Residence,Anti-White,78705,Henry,6
May,2017-152456,09-06-2017 00:00,Tue,2,1,0,2,Unknown,Robbery,School/College,Anti-Jewish,78702,Henry,10
May,2017-954713,10/14/2017 12:00:00 AM,Fri,0,0,0,0,Unknown,Burglary,Store/Shop,Anti-White,78705,Henry,5
Sep,2017-184246,03-02-2017 00:00,Wed,1,0,0,3,White/Not Hispanic,Burglary,School/College,Anti-Hispanic,78705,Ida,3
Nov,2017-781416,10/31/2017 12:00:00 AM,Mon,2,3,2,1,White/Not Hispanic,Robbery,School/College,Anti-Hispanic,78705,Ida,8
Jun,2017-625664,08/18/2017 12:00:00 AM,Thu,0,1,1,3,White/Not Hispanic,Aggravated Assault,Other,Anti-Other,78704,David,1
Aug,2017-438679,10/17/2017 12:00:00 AM,Mon,1,2,1,3,Black or African American/Not Hispanic,Robbery,Park/Playground,Anti-Hispanic,78704,Henry,3
Dec,2017-981788,09-03-2017 00:00,Sat,1,0,0,2,Unknown,Destruction,School/College,Anti-Other,78702,David,7
Jun,2017-958623,08/22/2017 12:00:00 AM,Mon,1,0,1,1,Black or African American/Not Hispanic,Robbery,Other,Anti-Jewish,78757,Ida,7
Apr,2017-339340,05/21/2017 12:00:00 AM,Sat,2,0,2,2,Hispanic,Burglary,Other,Anti-Black or African American,78701,David,1
Aug,2017-353317,08/24/2017 12:00:00 AM,Wed,2,3,1,3,Hispanic,Aggravated Assault,Highway/Road/Alley/Street/Sidewalk,Anti-Other,78701,Henry,8
Jun,2017-164420,03-01-2017 00:00,Tue,2,1,1,2,Hispanic,Destruction,Home/Residence,Anti-White,78704,Ida,2
Mar,2017-692439,09/27/2017 12:00:00 AM,Tue,2,2,2,1,White/Not Hispanic,Destruction,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,78701,Charlie,8
Oct,2017-599451,12/22/2017 12:00:00 AM,Thu,0,2,0,2,Other,Aggravated Assault,Store/Shop,Anti-Asian,78704,David,2
Sep,2017-919551,10/20/2017 12:00:00 AM,Thu,1,0,2,2,Black or African American/Not Hispanic,Burglary,Highway/Road/Alley/Street/Sidewalk,Anti-White,78702,Edward,8
Apr,2017-130381,04-09-2017 00:00,Sat,0,2,0,0,Unknown,Destruction,School/College,Anti-White,78701,David,6
Mar,2017-676235,10-01-2017 00:00,Sat,2,1,1,3,Unknown,Destruction,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,78704,Henry,3
May,2017-468533,12-05-2017 00:00,Mon,1,1,0,0,Other,Aggravated Assault,Home/Residence,Anti-White,78704,Charlie,1
Mar,2017-269562,01/30/2017 12:00:00 AM,Sun,1,2,2,2,Black or African American/Not Hispanic,Vandalism,Store/Shop,Anti-Jewish,78757,Edward,1
Mar,2017-347442,09/15/2017 12:00:00 AM,Thu,2,0,0,3,Other,Robbery,Store/Shop,Anti-Jewish,78701,Edward,10
Apr,2017-419538,07/24/2017 12:00:00 AM,Sun,0,1,0,3,Unknown,Theft,School/College,Anti-White,78701,Ida,7
Sep,2017-607953,01-02-2017 00:00,Sun,0,1,0,3,Other,Vandalism,School/College,Anti-White,78705,Ida,9
Mar,2017-429811,05-03-2017 00:00,Tue,2,3,0,0,White/Not Hispanic,Robbery,Store/Shop,Anti-White,78705,Edward,3
Jan,2017-544708,12-03-2017 00:00,Sat,2,3,1,3,Other,Robbery,Park/Playground,Anti-Other,78704,David,6
Mar,2017-710846,06/27/2017 12:00:00 AM,Mon,1,2,1,2,Other,Vandalism,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,78705,Henry,3
Apr,2017-293183,12-01-2017 00:00,Thu,0,2,2,3,Black or African American/Not Hispanic,Robbery,Other,Anti-Jewish,78701,David,6
Sep,2017-261394,02/16/2017 12:00:00 AM,Wed,0,0,2,1,Asian,Aggravated Assault,Other,Anti-Black or African American,78757,Henry,9
Jun,2017-758259,09/19/2017 12:00:00 AM,Mon,1,2,2,3,Asian,Theft,Store/Shop,Anti-White,78704,Edward,5
Oct,2017-892362,05/14/2017 12:00:00 AM,Sat,0,1,0,2,Hispanic,Vandalism,Other,Anti-Other,78704,Edward,3
Aug,2017-661565,09/14/2017 12:00:00 AM,Wed,2,0,1,2,Hispanic,Destruction,Store/Shop,Anti-Other,78704,David,10
Mar,2017-400061,03/28/2017 12:00:00 AM,Mon,2,2,1,0,Unknown,Theft,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,78702,Ida,4
Jan,2017-173156,05/17/2017 12:00:00 AM,Tue,2,3,1,2,Asian,Theft,Home/Residence,Anti-Asian,78704,David,8
Apr,2017-342369,06/19/2017 12:00:00 AM,Sun,1,0,2,0,Hispanic,Aggravated Assault,Other,Anti-Jewish,78757,Henry,6
Jun,2017-982482,11/30/2017 12:00:00 AM,Wed,1,0,1,0,White/Not Hispanic,Burglary,Other,Anti-White,78757,Charlie,6
Oct,2017-508015,09-10-2017 00:00,Sat,0,2,2,1,Black or African American/Not Hispanic,Aggravated Assault,School/College,Anti-Hispanic,78701,Ida,7
Jun,2017-659850,06-03-2017 00:00,Fri,0,2,1,0,Other,Burglary,School/College,Anti-Asian,78701,David,4
Nov,2017-147542,05-10-2017 00:00,Tue,0,3,2,2,Other,Vandalism,School/College,Anti-Asian,78757,Henry,2
Oct,2017-494226,02/14/2017 12:00:00 AM,Mon,1,0,1,1,Other,Theft,Park/Playground,Anti-Other,78757,Henry,5
Nov,2017-355437,03/26/2017 12:00:00 AM,Sat,1,2,0,0,Black or African American/Not Hispanic,Destruction,Store/Shop,Anti-Jewish,78704,David,9
Sep,2017-618643,05-03-2017 00:00,Tue,0,3,1,2,Other,Theft,School/College,Anti-White,78705,Ida,1
Oct,2017-821109,06-07-2017 00:00,Tue,2,1,2,3,Hispanic,Vandalism,Store/Shop,Anti-White,78705,Henry,2
Apr,2017-222218,04/22/2017 12:00:00 AM,Fri,1,1,1,1,Hispanic,Vandalism,Other,Anti-Black or African American,78702,Edward,2
Dec,2017-476442,03/20/2017 12:00:00 AM,Sun,2,0,1,0,Hispanic,Destruction,Home/Residence,Anti-Other,78704,Ida,7
Oct,2017-250248,07/24/2017 12:00:00 AM,Sun,0,3,0,1,Hispanic,Burglary,Store/Shop,Anti-Asian,78705,Ida,8
Sep,2017-306133,03-12-2017 00:00,Sat,2,1,2,1,Unknown,Vandalism,Home/Residence,Anti-White,78757,Charlie,10
Apr,2017-694059,04-11-2017 00:00,Mon,1,2,0,1,Asian,Aggravated Assault,Park/Playground,Anti-White,78757,David,6
Jun,2017-579664,12/19/2017 12:00:00 AM,Mon,2,0,1,0,Black or African American/Not Hispanic,Theft,Home/Residence,Anti-Asian,78702,Henry,2
May,2017-871724,12-11-2017 00:00,Sun,2,3,0,2,Asian,Theft,Other,Anti-White,78702,David,5
Jan,2017-922370,10/26/2017 12:00:00 AM,Wed,0,3,0,0,White/Not Hispanic,Theft,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,78702,Henry,9
Nov,2017-626136,08-12-2017 00:00,Fri,2,0,0,0,White/Not Hispanic,Destruction,Home/Residence,Anti-White,78704,Charlie,6
May,2017-779078,07/21/2017 12:00:00 AM,Thu,2,1,1,1,White/Not Hispanic,Vandalism,Park/Playground,Anti-Jewish,78757,David,8
Jun,2017-576018,03/18/2017 12:00:00 AM,Fri,2,0,1,3,Asian,Destruction,Home/Residence,Anti-Hispanic,78704,Ida,5
Jan,2017-612642,02-06-2017 00:00,Sun,0,1,2,0,Hispanic,Destruction,Store/Shop,Anti-Hispanic,78757,Charlie,10
Oct,2017-830093,03/17/2017 12:00:00 AM,Thu,1,0,0,2,Other,Theft,School/College,Anti-Other,78701,Ida,2
Mar,2017-525620,08-06-2017 00:00,Sat,1,3,0,0,Hispanic,Burglary,Other,Anti-Asian,78705,Charlie,3
Oct,2017-619317,09/19/2017 12:00:00 AM,Mon,1,1,2,0,Asian,Theft,Park/Playground,Anti-Jewish,78757,Ida,6
Oct,2017-714908,07/21/2017 12:00:00 AM,Thu,2,1,2,0,Unknown,Robbery,Highway/Road/Alley/Street/Sidewalk,Anti-Other,78705,Edward,6
Apr,2017-929204,06/18/2017 12:00:00 AM,Sat,0,3,0,1,Unknown,Vandalism,Other,Anti-Asian,78701,Charlie,3
Dec,2017-918617,07/31/2017 12:00:00 AM,Sun,0,3,2,1,Other,Robbery,Store/Shop,Anti-White,78705,David,5
May,2017-249768,04-06-2017 00:00,Wed,0,1,1,0,Black or African American/Not Hispanic,Destruction,Home/Residence,Anti-Jewish,78757,David,10
Oct,2017-280898,09/24/2017 12:00:00 AM,Sat,0,3,2,3,Black or African American/Not Hispanic,Destruction,Store/Shop,Anti-Hispanic,78757,Charlie,2
Sep,2017-205825,07-05-2017 00:00,Tue,2,2,0,2,Black or African American/Not Hispanic,Robbery,Store/Shop,Anti-Jewish,78705,Henry,7
Apr,2017-806816,10/23/2017 12:00:00 AM,Sun,2,3,2,1,Unknown,Destruction,Home/Residence,Anti-Jewish,78705,Ida,9
Mar,2017-408213,12-09-2017 00:00,Fri,0,2,1,0,Asian,Theft,Store/Shop,Anti-Asian,78702,David,7
Nov,2017-581621,02/17/2017 12:00:00 AM,Thu,1,0,2,1,Asian,Burglary,Highway/Road/Alley/Street/Sidewalk,Anti-White,78705,Edward,10
Jan,2017-313996,05-11-2017 00:00,Wed,0,2,1,0,Unknown,Burglary,Home/Residence,Anti-Asian,78701,Ida,10
Jun,2017-353046,02/25/2017 12:00:00 AM,Fri,0,1,2,1,Unknown,Theft,Store/Shop,Anti-Jewish,78701,Henry,10
May,2017-447684,07-02-2017 00:00,Sat,2,3,1,2,Black or African American/Not Hispanic,Theft,Store/Shop,Anti-Hispanic,78701,Henry,2
Jan,2017-805525,01-06-2017 00:00,Thu,0,0,2,2,Other,Aggravated Assault,School/College,Anti-Other,78704,Ida,5
Jul,2017-622613,11/20/2017 12:00:00 AM,Sun,2,2,0,0,Hispanic,Aggravated Assault,Home/Residence,Anti-White,78704,Edward,9
Jun,2017-101497,06-03-2017 00:00,Fri,0,1,2,1,Hispanic,Vandalism,Store/Shop,Anti-Hispanic,78757,David,9
Jul,2017-464031,11/23/2017 12:00:00 AM,Wed,1,3,0,2,Other,Vandalism,Home/Residence,Anti-White,78704,Charlie,8
Jun,2017-952286,08/13/2017 12:00:00 AM,Sat,1,0,2,3,Unknown,Vandalism,Other,Anti-White,78705,Charlie,2
Jun,2017-435999,08/23/2017 12:00:00 AM,Tue,1,3,1,1,Hispanic,Burglary,Home/Residence,Anti-Other,78705,Edward,10
May,2017-790421,07/24/2017 12:00:00 AM,Sun,1,2,0,2,White/Not Hispanic,Theft,Home/Residence,Anti-Hispanic,78705,Charlie,1
Sep,2017-126182,01/21/2017 12:00:00 AM,Fri,2,3,2,1,Black or African American/Not Hispanic,Destruction,Other,Anti-Black or African American,78757,Charlie,2
Nov,2017-994925,08-06-2017 00:00,Sat,2,2,0,3,Other,Theft,Other,Anti-Black or African American,78701,Ida,10
Mar,2017-143553,01/31/2017 12:00:00 AM,Mon,0,0,0,2,White/Not Hispanic,Theft,Home/Residence,Anti-Jewish,78757,Henry,4
Jun,2017-976920,04/20/2017 12:00:00 AM,Wed,2,3,1,3,Other,Burglary,Store/Shop,Anti-Other,78757,Charlie,5
Aug,2017-367376,03-05-2017 00:00,Sat,2,1,1,0,Black or African American/Not Hispanic,Burglary,Store/Shop,Anti-Asian,78704,David,2
Sep,2017-238130,05-02-2017 00:00,Mon,1,3,0,0,Other,Destruction,Other,Anti-Jewish,78705,Ida,7
Apr,2017-770155,08-11-2017 00:00,Thu,1,3,2,1,Asian,Vandalism,Park/Playground,Anti-Black or African American,78701,Henry,3
Nov,2017-975555,06-02-2017 00:00,Thu,1,2,0,2,Asian,Robbery,Store/Shop,Anti-Other,78704,Henry,8
Jul,2017-483629,03/21/2017 12:00:00 AM,Mon,0,0,2,2,Hispanic,Theft,Store/Shop,Anti-Hispanic,78701,Edward,5
Dec,2017-786212,06/19/2017 12:00:00 AM,Sun,1,2,0,0,Other,Vandalism,School/College,Anti-Jewish,78705,Henry,2
Apr,2017-670452,02/27/2017 12:00:00 AM,Sun,1,2,1,2,White/Not Hispanic,Burglary,Other,Anti-Black or African American,78704,Edward,1
Dec,2017-585248,07-04-2017 00:00,Mon,0,2,0,0,Other,Destruction,Park/Playground,Anti-Asian,78702,Charlie,10
Oct,2017-896265,11/29/2017 12:00:00 AM,Tue,2,0,2,0,Asian,Destruction,Home/Residence,Anti-Black or African American,78757,Ida,7
Jun,2017-709787,03-04-2017 00:00,Fri,1,0,2,1,Unknown,Destruction,Park/Playground,Anti-White,78757,Charlie,4
Jun,2017-562849,08-03-2017 00:00,Wed,1,3,1,1,White/Not Hispanic,Vandalism,Store/Shop,Anti-Other,78705,Edward,10
Dec,2017-696955,11/26/2017 12:00:00 AM,Sat,1,3,0,2,Asian,Aggravated Assault,Other,Anti-White,78757,Henry,6
Nov,2017-690313,11/23/2017 12:00:00 AM,Wed,0,0,2,1,Unknown,Aggravated Assault,Store/Shop,Anti-Black or African American,78705,Ida,5
Apr,2017-142919,10-03-2017 00:00,Mon,0,2,0,3,Black or African American/Not Hispanic,Destruction,Store/Shop,Anti-Asian,78702,Edward,1
Mar,2017-469789,03-05-2017 00:00,Sat,1,3,0,2,Black or African American/Not Hispanic,Theft,Park/Playground,Anti-Asian,78701,Charlie,2
Dec,2017-721866,01/26/2017 12:00:00 AM,Wed,0,2,0,1,Other,Burglary,School/College,Anti-Black or African American,78704,Henry,5
Jun,2017-122290,09/20/2017 12:00:00 AM,Tue,1,2,0,0,Asian,Theft,School/College,Anti-Other,78757,Ida,10
Mar,2017-391323,12/14/2017 12:00:00 AM,Wed,2,3,0,3,Asian,Destruction,School/College,Anti-Jewish,78705,Ida,4
May,2017-885619,11-11-2017 00:00,Fri,2,1,2,3,Asian,Aggravated Assault,Store/Shop,Anti-Other,78701,David,4
Jun,2017-889154,06-12-2017 00:00,Sun,1,1,0,1,Other,Burglary,Store/Shop,Anti-White,78702,Charlie,4
May,2017-126232,12/31/2017 12:00:00 AM,Sat,1,1,1,1,Unknown,Robbery,Park/Playground,Anti-Other,78704,Charlie,6
Mar,2017-672116,03/25/2017 12:00:00 AM,Fri,0,0,1,2,Unknown,Destruction,School/College,Anti-Hispanic,78704,Edward,1
Dec,2017-795913,04/24/2017 12:00:00 AM,Sun,0,3,2,0,Other,Theft,Other,Anti-Hispanic,78705,Charlie,7
Apr,2017-576173,04/24/2017 12:00:00 AM,Sun,2,1,1,1,Unknown,Burglary,Store/Shop,Anti-Jewish,78705,Ida,10
Sep,2017-996368,05/25/2017 12:00:00 AM,Wed,2,0,2,2,Hispanic,Vandalism,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic,78705,Ida,6
Jul,2017-728387,03-07-2017 00:00,Mon,2,3,2,2,White/Not Hispanic,Robbery,Other,Anti-White,78702,Henry,4
May,2017-909276,12/22/2017 12:00:00 AM,Thu,0,2,2,2,Black or African American/Not Hispanic,Aggravated Assault,Store/Shop,Anti-Asian,78757,Ida,3
Aug,2017-727828,07/20/2017 12:00:00 AM,Wed,0,0,2,2,Black or African American/Not Hispanic,Burglary,Other,Anti-Other,78701,Ida,4
Oct,2017-146828,12/17/2017 12:00:00 AM,Sat,1,1,1,0,Other,Theft,Home/Residence,Anti-Other,78704,Ida,6
Dec,2017-526636,05-09-2017 00:00,Mon,1,1,1,2,Other,Vandalism,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,78702,Edward,4
Feb,2017-492224,03/24/2017 12:00:00 AM,Thu,1,0,2,0,Black or African American/Not Hispanic,Theft,Highway/Road/Alley/Street/Sidewalk,Anti-White,78704,Ida,6
Sep,2017-988436,07-09-2017 00:00,Sat,0,0,0,1,White/Not Hispanic,Vandalism,Park/Playground,Anti-Other,78701,David,10
Jun,2017-887525,08-12-2017 00:00,Fri,0,1,1,2,White/Not Hispanic,Destruction,Home/Residence,Anti-Other,78757,Edward,6
Sep,2017-980276,10-10-2017 00:00,Mon,0,1,0,3,Black or African American/Not Hispanic,Theft,Park/Playground,Anti-Hispanic,78701,David,7
Oct,2017-543287,09/16/2017 12:00:00 AM,Fri,0,2,1,3,Other,Burglary,School/College,Anti-Black or African American,78702,Henry,10
Jul,2017-608905,07/21/2017 12:00:00 AM,Thu,2,0,0,2,Other,Vandalism,Store/Shop,Anti-White,78701,Edward,1
May,2017-867233,11/15/2017 12:00:00 AM,Tue,2,3,0,3,White/Not Hispanic,Theft,Store/Shop,Anti-Jewish,78701,David,7
Oct,2017-182773,11/29/2017 12:00:00 AM,Tue,2,2,0,1,Hispanic,Destruction,School/College,Anti-White,78757,Edward,9
Jul,2017-989331,09-05-2017 00:00,Mon,0,3,1,0,White/Not Hispanic,Destruction,School/College,Anti-Hispanic,78702,Henry,4
Sep,2017-354492,02/28/2017 12:00:00 AM,Mon,2,2,2,1,Other,Theft,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,78702,David,2
Jul,2017-847294,02/17/2017 12:00:00 AM,Thu,0,3,1,1,White/Not Hispanic,Vandalism,School/College,Anti-White,78701,Edward,1
Apr,2017-485904,01/20/2017 12:00:00 AM,Thu,1,0,0,2,Other,Vandalism,Highway/Road/Alley/Street/Sidewalk,Anti-Other,78704,Ida,2
Feb,2017-244853,07-01-2017 00:00,Fri,0,3,1,2,Asian,Robbery,Store/Shop,Anti-Other,78705,Charlie,6
Jan,2017-571036,02/28/2017 12:00:00 AM,Mon,2,2,1,2,Hispanic,Theft,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,78705,Henry,10
Nov,2017-519214,12-10-2017 00:00,Sat,1,1,0,3,Black or African American/Not Hispanic,Robbery,Park/Playground,Anti-Black or African American,78757,Charlie,9
Nov,2017-662478,10/15/2017 12:00:00 AM,Sat,1,1,2,1,White/Not Hispanic,Vandalism,Home/Residence,Anti-Asian,78704,Charlie,2
Feb,2017-416391,04-04-2017 00:00,Mon,1,3,0,1,Unknown,Burglary,School/College,Anti-Asian,78701,Charlie,10
Nov,2017-902998,05/26/2017 12:00:00 AM,Thu,2,3,1,1,Other,Theft,School/College,Anti-Asian,78701,Henry,5
Feb,2017-558959,02-07-2017 00:00,Mon,0,3,2,0,Black or African American/Not Hispanic,Theft,Park/Playground,Anti-Asian,78704,Ida,4
Jun,2017-720188,10/31/2017 12:00:00 AM,Mon,0,3,1,3,White/Not Hispanic,Vandalism,Other,Anti-Hispanic,78705,Edward,10
Oct,2017-120097,09-09-2017 00:00,Fri,2,3,2,1,White/Not Hispanic,Burglary,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,78701,Charlie,3
Oct,2017-746180,09/14/2017 12:00:00 AM,Wed,0,3,1,0,Unknown,Vandalism,Park/Playground,Anti-Jewish,78705,Henry,2
Feb,2017-226995,04/27/2017 12:00:00 AM,Wed,0,2,0,2,Other,Robbery,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,78702,Henry,3
Jul,2017-237259,09-09-2017 00:00,Fri,1,1,0,0,White/Not Hispanic,Aggravated Assault,Highway/Road/Alley/Street/Sidewalk,Anti-Jewish,78702,Ida,7
Nov,2017-519832,06-09-2017 00:00,Thu,1,1,2,2,White/Not Hispanic,Burglary,Park/Playground,Anti-Asian,78705,David,1
May,2017-610397,07/24/2017 12:00:00 AM,Sun,2,0,1,2,Other,Burglary,Store/Shop,Anti-Jewish,78702,Henry,3
Jul,2017-988395,11-01-2017 00:00,Tue,1,1,2,2,Hispanic,Vandalism,Park/Playground,Anti-Asian,78757,Henry,9
